editorial@polishdailynews.com;Stowarzyszenie Arabia Felix w Rijad
secretaria@upranet.com.ar;ArgentyÒsko-Polskie Stowarzyszenie Kulturalne (ACAP) w La Plata
domeyko@bibliotecadomeyko.com.ar;Biblioteka Polska im. Ignacego Domeyki w Buenos Aires
secretaria@upranet.com.ar;Centrum Kulturalne ArgentyÒsko Polskie w Ober·
secretaria@upranet.com.ar;Centrum PamiÍci BohaterÛw Polskich w Argentynie
klubpolek@gmail.com;Klub Polek w Argentynie
unionpolacaenberisso@hotmail.com;KoúciÛ≥ p.w. Matki Boøej CzÍstochowskiej w Ezpeleta
secretaria@upranet.com.ar;Polska Macierz Szkolna w Argentynie
sekretariat@albertynki.pl;Polski Dom Spokojnej Staroúci im. B≥. Jana Paw≥a II w Martin Coronado
secretaria@upranet.com.ar;Polski Oúrodek M≥odzieøowy w Argentynie
zgromadzenie@dominikanki-misjonarki.org;Siostry Dominikanki Misjonarki Jezusa i Maryi (Dominikanki Misjonarki) w Argentynie
nowa_polonia@hotmail.com;Stowarzyszenie Nueva Polonia w Cordoba
polaco@gmail.com;Stowarzyszenie Ognisko Polskie w Buenos Aires
eluciw@infovia.com.ar;Stowarzyszenie PolakÛw w Mar del Plata im. åw. Maksymiliana Kolbe w Mar del Plata
polonia-technica@att.net??;Stowarzyszenie Polskich InøynierÛw i TechnikÛw w Argentynie
spk.argentina@hotmail.com;Stowarzyszenie Polskich KombatantÛw w Argentynie
inespola@gmail.com;Stowarzyszenie Polskie "Dom Polskiî w Comodoro Rivadavia
glospolski@gmail.com;Stowarzyszenie Polskie w Ober·
koninptwzk@o2.pl;Towarzystwo Polskie w Posadas
polonesasanmartin@gmail.com†;Stowarzyszenie Polskie w San Martin
polonesasanmartin@gmail.com†;Stowarzyszenie Polskie w Santa Fe
bacpolonia@gmail.com;Stowarzyszenie StudentÛw i AbsolwentÛw Polskich w Argentynie (SSAPA)
glospolski@gmail.com;Towarzystwo Dom Polski w Rosario
glospolski@gmail.com;Towarzystwo Polskie im. Fryderyka Chopina w Rosario
ambbuenos@datamar.com.ar†;Towarzystwo Polskie w Dock Sud
circuito.polaco@gmail.com;Zwiπzek PolakÛw w Argentynie (UPRA)
ambbuenos@datamar.com.ar;Zwiπzek PolakÛw w Mendoza
naszagazeta@argentina.com;Zwiπzek Polski im. I. Paderewskiego w Quilmes
spk.argentina@hotmail.com;Zwiπzek Polskich KombatantÛw w Argentynie
polonia@r.am†;"PÛki my øyjemyî
dompolskiy@gmail.com;"WspÛ≥praca OrmiaÒsko-Polska"
dompolski2013@interia.pl;WspÛ≥praca PolakÛw "Dom Polski"
polonia-technica@att.net??;Zwiπzek PolakÛw w Armenii "Poloniaî
library@polonia.org.au;"Biuletyn Polonii"
marta@artandpsyche.com.pl;"Ekspress Wieczorny"
szlos@doctors.org.uk;"Krajî Niezaleøny Magazyn Polski w Brisbane
plcouncilact@gmail.com;"Kronika Poloniiî
info@polish-spk-foundation.org.au;"OkÛlnik"
club@polonia.org.au;"Poloniaî ñ Stowarzyszenie PolakÛw w Queensland
schrProv@tchr.org;"Przeglπd Katolickiî
info@tvpolonia.com.au;"Puma Media" Polska Telewizja w Australii i Nowej Zelandii
polishweek@optusnet.com.au;"Tygodnik Polskiî
amarczak2@bigpond.com;Audycja chrzeúcijaÒska 89.3 FM
jglac@optusnet.com.au;Australian Polish Historical Society Inc.
fiszman@bigpond.net.au†;Australian Society of Polish Jews and Their Descendants
eureka5@gmail.com;Australijski Instytut BadaÒ MiÍdzynarodowych
mwarzel@bigpond.net.au;Australijski Instytut Spraw Polskich
info@acci.asn.au;Australijsko-Polska Izba Przemys≥owo Handlowa
gklim@pcug.org.au;Biuro Informacyjne Polonii Australijskiej
dompolskicentre@gmail.com;Centralny Dom Polski w Adelaide
lutnia-chorzow@lutnia.com.pl;ChÛr Lutnia
dmk@muzeum.torun.pl;Dom Kopernika
sekretariatzpm@hotmail.com;Dom Millennium
president@polishclubrowville.org.au;Dom Polski "Syrenaî w Rowville
dompolskicentre@gmail.com;Dom Polski im. Jana Paw≥a II w Ardeer
skippyziggy@hotmail.com;Dom Polski im. Kopernika w Ballarat
polish.association.hobart@gmail.com;Dom Polski im. Piotra Po≥acika
whiteeagle1@bigpond.com;Dom Polski Or≥a Bia≥ego w Geelong
tcitizenship@polaron.com.au;Dom Polski w Ashfield
sekretariatzpm@hotmail.com;Dom Polski w Bell Post Hill
rainbow1@iinet.net.au;Dom Polski w Maylands
info@mkproject.org.uk;Dom Polski w Milton
president@polishassociationnewcastle.org.au;Dom Polski w Newcastle
president@polishassociationnewcastle.org.au;Dom Polski w Newcastle
schrprov@bigpond.com;Dom Polski w Wollongong
whiteeagleclub.act@gmail.com;Dom Polski White Eagle w Cabramatta
polish.association.hobart@gmail.com;Dom Polskiego Emeryta im. Brata Alberta w Marayong
info@eurosky.com.au;EuroSkyMedia Polska Telewizja w Australii
reception@polishfederation.org.au;Federacja Organizacji Polskich w Po≥udniowej Australii
jerzy1@optusnet.com.au;Federacja Polskich Organizacji w Nowej Po≥udniowej Walii
charitabletrusts@eqt.com.au.;Fundacja im. Stanis≥awa Bluma
australia@kresy-siberia.org;Fundacja Kresy-Syberia Oddzia≥ w Australii
kronikapolonii@hotmail.com;Fundacja Kulturalna im. Zofii SÍk-SÍkalskiej w Canberze
marianjanczak@yahoo.com.au;Fundacja Polska w Nowej Po≥udniowej Walii
biuro@polska-azja.pl;Fundacja StudiÛw Polskich
plcouncilact@gmail.com;Fundusz im. Profesora J. WilczyÒskiego
tom_czarnota@hotmail.com;Fundusz Polonii w Queensland
hszunejko@bigpond.com;Gospodarze Pola Kopernika (Polish Youth Association)
jolantahowe@bigpond.com;Grupa Kabaretowo-Teatralna "Vis a vis"
president@polonia.org.au;Internetowy Portal Polonii w Queensland
ryszard.kapuscinski@gazetapolska.pl;Klub Gazety Polskiej - Melbourne
info@klubgpsydney.com;Klub Gazety Polskiej - Sydney
