rezerwacja@hotelgloria.pl;Hotel GLORIA *** (Basen, SPA)
hotel@albatros.przemysl.pl;Hotel ALBATROS ***
przemysl@hotelaccademia.pl;Hotel ACCADEMIA ***
info@hotelmarko.pl;Hotel MARKO ***
hotel@krasiczyn.arp.com.pl;Hotel ZAMKOWY ***
hotel@podbialymorlem.com.pl;Hotel Pod Bia?ym Or?em **
hotel.europejski@wp.pl;Hotel EUROPEJSKI **
hotel@posir.pl;Hotel HALA *
maguss@interia.pl;"HOTELIK ""Zajazd u Jana"""
rosaprzemysl@o2.pl;Motel ROSA
hotelik_pod_baszta@interia.pl;Hotelik Pod Baszt?
info@krasiczyn.info;Impresja Krasiczyn **
dwor.wapowce@poczta.fm;Dwór Wapowce
hotel@dworkombornia.pl;Dwór Kombornia Hotel & SPA ****
dolina4stawow@gmail.com;Dolina 4 Stawów
pttkprzemysl@op.pl;Obiekt Noclegowy PODZAMCZE
recepcja@pcen.przemysl.pl;O?rodek Szkoleniowy BELFEREK
info@kresy.com;PRA?KOWCE 284
info@chortycia.com;PRA?KOWCE 284
osrodek@babice.info;O?rodek Szkoleniowo-Wypoczynkowy
zhpprzemysl@op.pl;"O?rodek Szkoleniowo-Wypoczynkowy ""Le?ne Zacisze"""
recepcja@ptsm-matecznik.pl;Schronisko M?odzie?owe PTSM MATECZNIK kat. I
juvenaprzemysl@margres.pl;ZESPÓ? DOMKÓW TURYSTYCZNYCH JUVENA
